TIMESTAMP| EVENT| UID| PID| PROCESS_NAME
1090019001| 122| 10300| 879| tiktok
1090019010| 122| 10300| 879| tiktok
1090019030| 332| 10331| 97| youtube
1090019055| 265| 10312| 411| spotify
1090019088| 188| 10345| 512| instagram
1090020023| 434| 10344| 65| chrome
1090021033| 122| 10300| 879| tiktok
1090022055| 544| 10366| 214| whatsapp
1090023099| 434| 10344| 65| chrome
1090025122| 265| 10331| 97| youtube
1090027090| 188| 10345| 512| instagram
1090029045| 544| 10366| 214| whatsapp
1090031088| 332| 10331| 97| youtube
1090033099| 434| 10344| 65| chrome
1090035111| 122| 10300| 879| tiktok
1090037077| 265| 10331| 97| youtube
1090039099| 188| 10345| 512| instagram
1090041055| 434| 10344| 65| chrome
1090043070| 544| 10366| 214| whatsapp
1090045044| 434| 10344| 65| chrome
1090047078| 332| 10331| 97| youtube
1090049055| 265| 10331| 97| youtube
1090051040| 188| 10345| 512| instagram
1090053033| 544| 10366| 214| whatsapp
1090055039| 332| 10331| 97| youtube
1090057034| 332| 10331| 97| youtube
1090059034| 332| 10331| 97| youtube
1090061030| 122| 10300| 879| tiktok
1090063025| 434| 10344| 65| chrome
1090065044| 188| 10345| 512| instagram
1090067033| 544| 10366| 214| whatsapp
1090069010| 122| 10300| 879| tiktok
1090071022| 265| 10331| 97| youtube
1090073033| 332| 10331| 97| youtube
1090075044| 188| 10345| 512| instagram
1090077022| 434| 10344| 65| chrome
1090079022| 265| 10331| 97| youtube
1090081033| 332| 10331| 97| youtube
1090083099| 544| 10366| 214| whatsapp
1090085033| 434| 10344| 65| chrome
1090087077| 188| 10345| 512| instagram
1090089099| 265| 10331| 97| youtube
1090091066| 122| 10300| 879| tiktok
1090093066| 332| 10331| 97| youtube
1090095066| 434| 10344| 65| chrome
1090097066| 544| 10366| 214| whatsapp
1090099066| 434| 10331| 97| youtube
1090101070| 265| 10331| 97| youtube
1090103099| 188| 10345| 512| instagram
1090105099| 434| 10344| 65| chrome
1090107039| 332| 10331| 97| youtube
1090109033| 544| 10366| 214| whatsapp
1090111039| 188| 10345| 512| instagram
1090113033| 434| 10344| 65| chrome
1090116033| 434| 10344| 65| chrome
1090118033| 122| 10300| 879| tiktok
1090120033| 332| 10331| 97| youtube
1090122033| 265| 10331| 97| youtube
1090124033| 544| 10366| 214| whatsapp
1090126033| 188| 10345| 512| instagram
1090128033| 434| 10344| 65| chrome
1090130033| 332| 10331| 97| youtube
1090132033| 122| 10300| 879| tiktok
1090134033| 434| 10344| 65| chrome
1090136033| 544| 10366| 214| whatsapp
1090138033| 265| 10331| 97| youtube
1090140033| 332| 10331| 97| youtube
1090142033| 188| 10345| 512| instagram
1090144033| 544| 10366| 214| whatsapp
1090146033| 434| 10344| 65| chrome
1090148033| 122| 10300| 879| tiktok
1090150033| 332| 10331| 97| youtube
1090152033| 188| 10345| 512| instagram
1090154033| 544| 10366| 214| whatsapp
1090156033| 434| 10344| 65| chrome
1090158033| 265| 10331| 97| youtube
1090160033| 122| 10300| 879| tiktok
1090162033| 332| 10331| 97| youtube
1090164033| 188| 10345| 512| instagram
1090166033| 544| 10366| 214| whatsapp
1090168033| 434| 10344| 65| chrome
1090170033| 332| 10331| 97| youtube
1090172033| 122| 10300| 879| tiktok
1090174033| 265| 10331| 97| youtube
1090176033| 188| 10345| 512| instagram
1090178033| 544| 10366| 214| whatsapp
1090180033| 434| 10344| 65| chrome
1090182033| 332| 10331| 97| youtube
1090184033| 122| 10300| 879| tiktok
1090186033| 188| 10345| 512| instagram
1090188033| 544| 10366| 214| whatsapp
1090190033| 434| 10344| 65| chrome
1090192033| 332| 10331| 97| youtube
1098798755| 332| 10331| 97| youtube
