TIMESTAMP| EVENT| UID| PID| PROCESS_NAME
1090019001| 122| 10300| 879| tiktok
1090019010| 265| 10300| 879| tiktok
1090019030| 332| 10331| 97| youtube
1090019055| 434| 10331| 97| youtube
1090019088| 544| 10312| 411| spotify
1090020023| 122| 10344| 65| chrome
1090021033| 332| 10300| 879| tiktok
1090022055| 188| 10366| 214| whatsapp
1090023099| 265| 10344| 65| chrome
1090025122| 434| 10331| 97| youtube
1090027090| 265| 10345| 512| instagram
1090029045| 544| 10366| 214| whatsapp
1090031088| 188| 10331| 97| youtube
1090033099| 434| 10344| 65| chrome
1090035111| 122| 10300| 879| tiktok
1090037077| 332| 10331| 97| youtube
1090039099| 544| 10345| 512| instagram
1090041055| 434| 10344| 65| chrome
1090043070| 265| 10366| 214| whatsapp
1090045044| 434| 10344| 65| chrome
1090047078| 188| 10331| 97| youtube
1090049055| 544| 10331| 97| youtube
1090051040| 265| 10345| 512| instagram
1090053033| 332| 10366| 214| whatsapp
1090055039| 434| 10331| 97| youtube
1090057034| 122| 10331| 97| youtube
1090059034| 332| 10331| 97| youtube
1090061030| 265| 10300| 879| tiktok
1090063025| 434| 10344| 65| chrome
1090065044| 188| 10345| 512| instagram
1090067033| 544| 10366| 214| whatsapp
1090069010| 122| 10300| 879| tiktok
1090071022| 265| 10331| 97| youtube
1090073033| 434| 10331| 97| youtube
1090075044| 188| 10345| 512| instagram
1090077022| 434| 10344| 65| chrome
1090079022| 265| 10331| 97| youtube
1090081033| 332| 10331| 97| youtube
1090083099| 434| 10366| 214| whatsapp
1090085033| 188| 10344| 65| chrome
1090087077| 265| 10345| 512| instagram
1090089099| 332| 10331| 97| youtube
1090091066| 122| 10300| 879| tiktok
1090093066| 265| 10331| 97| youtube
1090095066| 434| 10344| 65| chrome
1090097066| 544| 10366| 214| whatsapp
1090099066| 434| 10331| 97| youtube
1090101070| 332| 10331| 97| youtube
1090103099| 188| 10345| 512| instagram
1090105099| 434| 10344| 65| chrome
1090107039| 122| 10331| 97| youtube
1090109033| 265| 10366| 214| whatsapp
1090111039| 544| 10345| 512| instagram
1090113033| 332| 10344| 65| chrome
1090116033| 434| 10344| 65| chrome
1090118033| 122| 10300| 879| tiktok
1090120033| 265| 10331| 97| youtube
1090122033| 434| 10331| 97| youtube
1090124033| 188| 10366| 214| whatsapp
1090126033| 332| 10345| 512| instagram
1090128033| 544| 10344| 65| chrome
1090130033| 265| 10331| 97| youtube
1090132033| 122| 10300| 879| tiktok
1090134033| 434| 10344| 65| chrome
1090136033| 188| 10366| 214| whatsapp
1090138033| 332| 10331| 97| youtube
1090140033| 265| 10331| 97| youtube
1090142033| 434| 10345| 512| instagram
1090144033| 122| 10366| 214| whatsapp
1090146033| 188| 10344| 65| chrome
1090148033| 265| 10300| 879| tiktok
1090150033| 332| 10331| 97| youtube
1090152033| 434| 10345| 512| instagram
1090154033| 188| 10366| 214| whatsapp
1090156033| 544| 10344| 65| chrome
1090158033| 265| 10331| 97| youtube
1090160033| 122| 10300| 879| tiktok
1090162033| 332| 10331| 97| youtube
1090164033| 434| 10345| 512| instagram
1090166033| 188| 10366| 214| whatsapp
1090168033| 544| 10344| 65| chrome
1090170033| 265| 10331| 97| youtube
1090172033| 122| 10300| 879| tiktok
1090174033| 434| 10331| 97| youtube
1090176033| 332| 10345| 512| instagram
1090178033| 188| 10366| 214| whatsapp
1090180033| 544| 10344| 65| chrome
1090182033| 265| 10331| 97| youtube
1090184033| 122| 10300| 879| tiktok
1090186033| 332| 10345| 512| instagram
1090188033| 434| 10366| 214| whatsapp
1090190033| 188| 10344| 65| chrome
1090192033| 544| 10331| 97| youtube
1090194033| 332| 10377| 333| twitter
1090196033| 434| 10377| 333| twitter
1090198033| 265| 10377| 333| twitter
1090200033| 188| 10388| 321| gmail
1090202033| 265| 10388| 321| gmail
1090204033| 332| 10388| 321| gmail
1090206033| 434| 10388| 321| gmail
1090208033| 544| 10399| 412| googledrive
1090210033| 265| 10399| 412| googledrive
1090212033| 332| 10399| 412| googledrive
1090214033| 434| 10399| 412| googledrive
1090216033| 188| 10411| 613| pinterest
1090218033| 265| 10411| 613| pinterest
1090220033| 332| 10411| 613| pinterest
1090222033| 434| 10411| 613| pinterest
1090224033| 544| 10433| 701| gemini
1090226033| 265| 10433| 701| gemini
1090228033| 332| 10433| 701| gemini
1090230033| 434| 10433| 701| gemini
1098798755| 332| 10331| 97| youtube
